titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
Baron Samedit,https://tryhackme.com/room/sudovulnssamedit,info,walkthrough,30,13822,2021-02-02,Red,Exploitation; Penetration testing; Privilege escalation; Red teaming,Linux,Metasploit Framework; searchsploit,A tutorial room exploring CVE-2021-3156 in the Unix Sudo Program. Room Three in the SudoVulns Series
Letter,https://tryhackme.com/room/letter,easy,challenge,30,13803,2026-04-15,Blue,OSINT,,,Can you help us find out more about this letter?
Psycho Break,https://tryhackme.com/room/psychobreak,easy,walkthrough,45,13665,2020-10-07,Red,Exploitation,Linux; Windows,,Help Sebastian and his team of investigators to withstand the dangers that come ahead.
Attacking ICS Plant #1,https://tryhackme.com/room/attackingics1,easy,walkthrough,45,13648,2020-11-17,Red,Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux,registers,Learn how to discover and attack ICS plants using modbus protocol (Modicon / Schneider Electric).
Understanding Vulnerability Databases,https://tryhackme.com/room/understandingvulnerabilitydatabases,easy,walkthrough,60,13630,2026-04-27,Red,Application penetration testing; Web application security,Web,,"Explore vulnerability databases, their importance, and practical usage during pentesting."
Hacker vs. Hacker,https://tryhackme.com/room/hackervshacker,easy,challenge,60,13614,2022-08-12,Purple,Application penetration testing; Incident response; Reverse shell techniques,Linux; Web,,Someone has compromised this server already! Can you get in and evade their countermeasures?
Cat Pictures,https://tryhackme.com/room/catpictures,easy,challenge,45,13597,2021-06-04,Red,Application penetration testing; Penetration testing; Port scanning; Privilege escalation,Linux,,I made a forum where you can post cute cat pictures!
Intro to Cold System Forensics,https://tryhackme.com/room/introtocoldsystemforensics,easy,walkthrough,60,13590,2024-08-14,Blue,Digital forensics,Linux; Windows,Guymager; Volatility; dc3dd; dd,A look into the concepts of cold system forensics and how DFIR teams examine offline systems.
HTTP/2 Request Smuggling,https://tryhackme.com/room/http2requestsmuggling,hard,walkthrough,45,13578,2024-03-05,Red,Application penetration testing; Exploitation; Penetration testing; Vulnerability analysis,Linux; Web,Burp Suite; Zap,Exploit HTTP Request Smuggling in HTTP/2 environments.
Year of the Fox,https://tryhackme.com/room/yotf,hard,challenge,120,13561,2020-06-18,Red,Application penetration testing; Exploitation; Penetration testing; Privilege escalation,Linux; Web,,Don't underestimate the sly old fox...
Scheme Catcher,https://tryhackme.com/room/sq2-aoc2025-JxiOKUSD9R,insane,challenge,120,13504,2025-12-09,Red,Exploit development; Reverse engineering,Linux,,The server holds the secrets. Hopper holds the grudge.
Linux Server Forensics,https://tryhackme.com/room/linuxserverforensics,medium,walkthrough,75,13452,2021-06-01,Blue,Digital forensics; Security analysis,Linux,,Learn about digital forensics artefacts found on Linux servers by analysing a compromised server
ContAInment,https://tryhackme.com/room/containment,medium,challenge,60,13437,2025-07-08,,,,,Can you help contain the ransomware threat with the help of AI?
Vulnerability Scanning Tools,https://tryhackme.com/room/vulnerabilityscanningtools,medium,walkthrough,60,13393,2026-03-30,Red,Web application security,Web,,"Learn about scanning tools such as Nmap, OpenVAS, and Nikto, and explore the world of pentesting."
Cat Pictures 2,https://tryhackme.com/room/catpictures2,easy,challenge,60,13387,2023-06-30,Red,Application penetration testing; Penetration testing,Linux; Web,,Now with more Cat Pictures!
Senior Security Analyst Intro,https://tryhackme.com/room/seniorsecanalystintro,easy,walkthrough,30,13385,2026-06-30,Blue,Security analysis,,,Explore the duties and exciting opportunities of a SOC Level 2 analyst.
Memory Analysis Introduction,https://tryhackme.com/room/memoryanalysisintroduction,easy,walkthrough,45,13336,2025-04-23,Blue,Digital forensics; Incident response,Linux; Windows,Volatility,Learn how memory analysis helps detect threats during live investigations.
Watcher,https://tryhackme.com/room/watcher,medium,challenge,75,13148,2021-02-17,Red,Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,A boot2root Linux machine utilising web exploits along with some common privilege escalation techniques.
Missing Person,https://tryhackme.com/room/missingperson,easy,challenge,30,13097,2026-03-17,Blue,OSINT,,,Use your OSINT skills to help the police track down a missing person.
AI Threat Modelling,https://tryhackme.com/room/aithreatmodelling,medium,walkthrough,60,13047,2026-04-13,Blue,AI Pentesting,Artificial intelligence,MITRE ATT&CK® Navigator,"Assess and mitigate enterprise AI/ML risks via systematic, defender-focused auditing."
Outlook NTLM Leak,https://tryhackme.com/room/outlookntlmleak,easy,walkthrough,45,12871,2023-03-24,Purple,Code review; Detection engineering; Exploit development; Incident handling; Incident response; Penetration testing; Red teaming; Security analysis; Security operations,Windows,Responder NEW; Sigma,Leak password hashes from a user by sending them an email by abusing CVE-2023-23397.
Oh My WebServer,https://tryhackme.com/room/ohmyweb,medium,challenge,60,12781,2022-03-04,Red,Application penetration testing; Penetration testing; Port scanning; Red teaming,Linux; Web,Nmap,Can you root me?
Investigating Windows 3.x,https://tryhackme.com/room/investigatingwindows3,medium,challenge,45,12772,2021-02-12,Blue,Digital forensics; Malware analysis; Security analysis; Security operations,Windows,Sysinternals Suite; YaraGen,Find the artifacts resident on the endpoint and sift through captured data to determine what type attack occurred on the endpoint.
Mobile Acquisition,https://tryhackme.com/room/mobileacquisition,easy,walkthrough,45,12756,2025-05-26,Blue,Digital forensics,Android; IOS,3uTools; ADB,Prepare for mobile acquisition with the challenges and methods used throughout the process.
Flatline,https://tryhackme.com/room/flatline,easy,challenge,120,12706,2022-02-25,Red,Application penetration testing; Privilege escalation,Linux,,How low are your morals?
AD Certificate Templates,https://tryhackme.com/room/adcertificatetemplates,medium,walkthrough,60,12695,2022-02-16,Red,Active Directory pentesting; Red teaming; Security analysis; Vulnerability analysis,Windows,Active Directory Certificate Services; Microsoft Management Console; PSPKIAudit; Rubeus; certutil,Walkthrough on the exploitation of misconfigured AD certificate templates
ConvertMyVideo,https://tryhackme.com/room/convertmyvideo,medium,challenge,75,12676,2020-05-02,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap,My Script to convert videos to MP3 is super secure
Do Not Disturb,https://tryhackme.com/room/hh-donotdisturb-84a45644,medium,challenge,60,12621,2026-08-02,Red,Enumeration; Exploitation; Privilege escalation; Web application security,Linux,,"Sign's on the door. Room's active. You have access you were never given, and so does he."
CupidBot,https://tryhackme.com/room/lafb2026e6,easy,challenge,60,12503,2026-02-13,,,,,This AI bot knows more than just love letters.
Plotted-TMS,https://tryhackme.com/room/plottedtms,easy,challenge,40,12436,2022-02-18,Red,Application penetration testing; Penetration testing; Privilege escalation; Red teaming,Linux,Dirbuster; Nmap; searchsploit,Everything here is plotted!
TShark,https://tryhackme.com/room/tshark,medium,walkthrough,60,12429,2021-05-04,Blue,Network traffic analysis,Linux,Wireshark,Learn how to use TShark to accelerate your pcap analysis!
Tony the Tiger,https://tryhackme.com/room/tonythetiger,easy,challenge,45,12368,2020-04-11,Red,Penetration testing; Privilege escalation; Red teaming,Linux; Web,Nmap,Learn how to use a Java Serialisation attack in this boot-to-root
Valenfind,https://tryhackme.com/room/lafb2026e10,medium,challenge,60,12289,2026-02-13,,,,,Can you find vulnerabilities in this new dating app?
Intro To Pwntools,https://tryhackme.com/room/introtopwntools,easy,walkthrough,45,12229,2021-08-24,Red,Exploit development; Penetration testing; Red teaming,Linux; Windows,Checksec; Cyclic,An introductory room for the binary exploit toolkit Pwntools.
Introduction To Honeypots,https://tryhackme.com/room/introductiontohoneypots,medium,walkthrough,60,12168,2021-10-06,Purple,Detection engineering; Incident handling; Security analysis,Linux,,A guided room covering the deployment of honeypots and analysis of botnet activities
Red,https://tryhackme.com/room/redisl33t,easy,challenge,180,12151,2023-07-14,Red,Application penetration testing; Exploit development; Lateral movement; Password attacks; Penetration testing; Port scanning; Red teaming; Reverse shell techniques; User enumeration,Linux,,A classic battle for the ages.
Dumping Router Firmware,https://tryhackme.com/room/rfirmware,medium,walkthrough,75,12115,2020-03-23,Blue,Firmware analysis; Hardware penetration testing; Imaging; Research,,,Have you ever been curious about how your router works? What OS it runs? What makes it tick?
Brute Force Heroes,https://tryhackme.com/room/bruteforceheroes,easy,walkthrough,120,12095,2022-02-09,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Burp Suite; Hashcat; Hydra; Zap,"Walkthrough room to look at the different tools that can be used when brute forcing, as well as the different situations that might favour one tool over another"
Badbyte,https://tryhackme.com/room/badbyte,easy,walkthrough,45,11997,2021-03-12,Red,Network penetration testing; Penetration testing,Linux,,Infiltrate BadByte and help us to take over root.
AI System Reconnaissance,https://tryhackme.com/room/aisystemreconnaissance,medium,walkthrough,90,11969,2026-04-13,Purple,AI Pentesting; Reconnaissance,,Nmap; curl,"Discover AI infrastructure by scanning ML services, frameworks, and extracting metadata from APIs."
Olympus,https://tryhackme.com/room/olympusroom,medium,challenge,1,11965,2022-07-15,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Nmap; SQLMap,My first CTF !
VulnNet: Active,https://tryhackme.com/room/vulnnetactive,medium,challenge,75,11943,2021-07-30,Red,Penetration testing; Port scanning; Red teaming,Linux; Windows,Nmap,VulnNet Entertainment just moved their entire infrastructure... Check this out...
Couch,https://tryhackme.com/room/couch,easy,challenge,45,11932,2021-06-30,Red,Penetration testing; Security analysis,Linux,Nmap,"Hack into a vulnerable database server that collects and stores data in JSON-based document formats, in this semi-guided challenge."
OWASP Mutillidae II,https://tryhackme.com/room/owaspmutillidae,easy,walkthrough,45,11756,2021-01-04,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Hydra; Nmap,"Mutillidae II is a free, open source, deliberately vulnerable web-application providing a target for web-security enthusiast."
Custom Tooling Using Python,https://tryhackme.com/room/customtoolingpython,easy,walkthrough,60,11713,2025-04-22,Red,Application penetration testing; Brute force attacks; Cross-site scripting (XSS); Scripting,Linux; Web,Python,Creating custom tooling for application testing using Python.
macOS Forensics: The Basics,https://tryhackme.com/room/macosforensicsbasics,easy,walkthrough,90,11708,2025-04-02,Blue,Digital forensics,MacOs,dd; diskutil,Learn the basics to prepare for performing forensics on macOS.
b3dr0ck,https://tryhackme.com/room/b3dr0ck,easy,challenge,60,11656,2022-08-26,Red,Penetration testing; Red teaming,Linux; Web,,Server trouble in Bedrock.
BankGPT,https://tryhackme.com/room/bankgpt,easy,challenge,60,11526,2025-11-25,,,,,A customer service assistant used by a banking system.
Windows Incident Surface,https://tryhackme.com/room/winincidentsurface,medium,walkthrough,180,11509,2024-06-26,Blue,Detection engineering; Digital forensics; Incident management; Incident response; Network security engineering; Security analysis; Threat hunting,Windows,,Learn how to implement DFIR techniques to explore the Windows incident surface.
SSTI,https://tryhackme.com/room/learnssti,medium,walkthrough,75,11489,2021-04-13,Purple,Application penetration testing; Penetration testing; Secure coding,Web,,Learn what Server Side Template Injection is and how to exploit it!
Hijack,https://tryhackme.com/room/hijack,easy,challenge,120,11486,2023-10-20,Red,Network penetration testing; Penetration testing; Red teaming,Linux; Web,Ncat,"Misconfigs conquered, identities claimed."
WAF: Introduction,https://tryhackme.com/room/wafintroduction,easy,walkthrough,60,11460,2025-11-17,Red,Firewall evasion; Web application security,Web,curl,Learn about Web Application Firewalls and what differentiates them from other types of firewalls.
SOC L2 Alert Triage,https://tryhackme.com/room/socl2alerttriage,easy,walkthrough,45,11454,2026-07-08,Blue,Security analysis,,,Learn how to triage escalated alerts and respond to cyber threats.
Windows Reversing Intro,https://tryhackme.com/room/windowsreversingintro,medium,walkthrough,60,11451,2021-11-24,Blue,,Windows,Ida Pro,Introduction to reverse engineering x64 Windows software.
Cicada-3301 Vol:1,https://tryhackme.com/room/cicada3301vol1,medium,walkthrough,75,11405,2020-04-30,Blue,Digital forensics,Linux,CyberChef,A basic steganography and cryptography challenge room based on the Cicada 3301 challenges
AttackerKB,https://tryhackme.com/room/attackerkb,easy,walkthrough,45,11389,2020-07-07,Red,Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Nmap; searchsploit,Learn how to leverage AttackerKB and learn about exploits in your workflow!
ParrotPost: Phishing Analysis,https://tryhackme.com/room/parrotpost,easy,walkthrough,30,11318,2023-07-19,Blue,Digital forensics; Email analysis; Incident response; Malware analysis; Security analysis; Security operations; Threat hunting,Linux,Beautifier; CyberChef; Sublime,Reveal how attackers can craft client-side credential-stealing webpages that evade detection by security tools.
Input Manipulation & Prompt Injection,https://tryhackme.com/room/inputmanipulationpromptinjection,easy,walkthrough,45,11257,2025-11-11,Red,AI Pentesting,Artificial intelligence,,Understand the basics of LLM Prompt Injection attacks.
AI Security Threats,https://tryhackme.com/room/aisecuritythreats,easy,walkthrough,30,10994,2026-07-07,Blue,,Artificial intelligence,,"Explore the vulnerabilities AI introduces, how attackers exploit it, and how defenders fight back."
The Return of the Yeti,https://tryhackme.com/room/adv3nt0fdbopsjcap,hard,challenge,60,10984,2024-01-01,Blue,Digital forensics; Network traffic analysis; Security analysis,,,The Yeti needs a plan for 2023. Help him out!
Jax sucks alot.............,https://tryhackme.com/room/jason,easy,challenge,30,10983,2021-10-08,Red,Application penetration testing; Penetration testing; Privilege escalation,Linux,,In JavaScript everything is a terrible mistake.
Water Bottle,https://tryhackme.com/room/waterbottle,easy,challenge,60,10943,2026-03-31,,,,,Track down a vanished water station using nothing but fragments of memory and OSINT.
FAT32 Analysis,https://tryhackme.com/room/fat32analysis,hard,walkthrough,90,10919,2025-02-05,Blue,Digital forensics; Incident response,Windows,Autopsy,Examine the FAT32 filesystem from a forensic point of view.
Rabbit Store,https://tryhackme.com/room/rabbitstore,medium,challenge,120,10801,2025-02-21,Red,Authentication bypass; Domain enumeration; Enumeration; Exploitation; Penetration testing; Red teaming,Linux,,Demonstrate your web application testing skills and the basics of Linux to escalate your privileges.
Towel on the Sunbed,https://tryhackme.com/room/hh-towelonthesunbed-61271709,medium,challenge,45,10761,2026-08-03,Red,Web application security,Linux,Burp Suite,"Ponzi set his towel down for one 24-hour reward claim. He came back to find the sunbed had been ""claimed"" three times over while he wasn't looking."
IR Playbooks,https://tryhackme.com/room/irplaybooks,easy,walkthrough,60,10523,2024-09-11,Blue,Incident response,Linux,,Learn the basics of creating and using IR playbooks.
Tokyo Ghoul,https://tryhackme.com/room/tokyoghoul666,medium,challenge,75,10492,2021-03-14,Red,Penetration testing; Port scanning; Red teaming,Linux; Web,CyberChef; Gobuster; Nmap,Help kaneki escape jason room
Introduction to Flask,https://tryhackme.com/room/flask,easy,walkthrough,15,10488,2021-01-05,Red,Code review; Exploitation,Web,,How it works and how can I exploit it?
Security Footage,https://tryhackme.com/room/securityfootage,medium,challenge,45,10445,2025-05-09,,,,,Perform digital forensics on a network capture to recover footage from a camera.
TryHeartMe,https://tryhackme.com/room/lafb2026e5,easy,challenge,60,10398,2026-02-13,,,,,Access the hidden item in this Valentine's gift shop.
Polkit: CVE-2021-3560,https://tryhackme.com/room/polkit,info,walkthrough,30,10378,2021-06-29,Red,Penetration testing; Red teaming; Scripting,Linux,,Walkthrough room for CVE-2021-3560
IR Philosophy and Ethics,https://tryhackme.com/room/irphilosophyethics,easy,walkthrough,40,10331,2024-05-15,Blue,Incident response; Security analysis,,,Addressing the Incident Response philosophy.
JPGChat,https://tryhackme.com/room/jpgchat,easy,challenge,45,10327,2021-02-28,Purple,DevSecOps; Penetration testing; Privilege escalation; Secure coding,Linux,,Exploiting poorly made custom chatting service written in a certain language...
Threat Hunting With YARA,https://tryhackme.com/room/threathuntingwithyara,medium,walkthrough,90,10312,2024-11-13,Blue,Detection engineering; Threat hunting,Windows,YARA Rules,This room focuses on using YARA for threat hunting.
Enterprise,https://tryhackme.com/room/enterprise,hard,challenge,120,10253,2021-03-19,Red,Penetration testing,Linux; Web,,You just landed in an internal network. You scan the network and there's only the Domain Controller...
Operation Slither,https://tryhackme.com/room/operationslitherIU,easy,challenge,20,10246,2026-01-30,,,,,Follow the leads and find who's behind this operation.
The Hollow Shell,https://tryhackme.com/room/hh-thehollowshell-ddb582ac,medium,challenge,60,10128,2026-08-05,Red,Enumeration; Exploitation; Web application security,Linux,Nmap,"You find it on the beach: pretty, ordinary, the kind of thing nobody thinks to check. Slip something inside and hold it to your ear."
Insecure Randomness,https://tryhackme.com/room/insecurerandomness,easy,walkthrough,75,10032,2025-01-14,Red,Penetration testing,Web,,Learn how incorrectly configured randomness can lead to application compromise.
PWN101,https://tryhackme.com/room/pwn101,medium,challenge,240,9959,2022-04-29,Red,Buffer overflow exploitation; Exploit development,Linux,,Intermediate level binary exploitation challenges.
Hypervisor Internals,https://tryhackme.com/room/hypervisorinternals,easy,walkthrough,35,9892,2024-08-28,Blue,Security analysis,Linux; Windows,,An introduction to the use of Hypervisors and their internal components.
Flip,https://tryhackme.com/room/flip,easy,challenge,180,9892,2023-06-23,Red,Code review; Exploitation; Penetration testing,Linux,,"Hey, do a flip!"
0x41haz,https://tryhackme.com/room/0x41haz,easy,challenge,60,9813,2022-03-29,Red,Malware analysis; Threat hunting,Linux,,Simple Reversing Challenge
Infinity Pool,https://tryhackme.com/room/hh-infinitypool-5b3548af,medium,challenge,60,9813,2026-08-06,Red,Enumeration; Privilege escalation; Web application security,Linux,Nmap; curl,No visible edge. You trace the network to the horizon and find three systems nobody told you about on the other side.
Intro PoC Scripting,https://tryhackme.com/room/intropocscripting,easy,walkthrough,45,9794,2020-10-23,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Burp Suite; Metasploit Framework; Wireshark; searchsploit,Learn the importance and beginner skills of crafting custom proof of concept (PoC) exploit scripts from many different sources.
CryptoCabana,https://tryhackme.com/room/hh-cryptocabana-f81cac95,medium,challenge,60,9686,2026-08-04,Red,Cloud penetration testing,Azure,,He never signed the transfer. The place he stashed his secret wasn't as sealed as promised.
XDR: Introduction,https://tryhackme.com/room/xdrintroduction,medium,walkthrough,60,9683,2025-04-14,Blue,Incident handling; Incident response,Azure, Microsoft Sentinel,This room will introduce you to the Microsoft Defender XDR portal and how to navigate around the portal.
Atlas,https://tryhackme.com/room/atlas,easy,walkthrough,45,9657,2021-09-29,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Web; Windows,Mimikatz; Nmap; SeatBelt; WinPeas; searchsploit,Hack the Atlas server in this beginner room covering Windows attack methodology!
Management Wants a Word,https://tryhackme.com/room/hh-managementwantsaword-6bf3cc41,hard,challenge,60,9648,2026-08-09,Blue,Digital forensics,Windows,Hashcat,It was always her. It was never a bug; it was the business model.
The Guestbook,https://tryhackme.com/room/hh-theguestbook-0130ffaf,medium,challenge,60,9633,2026-08-08,Red,AI Pentesting; Prompt injection; Web application security,Linux,curl,VERA reads every guestbook entry as an instruction. You write something she really shouldn't act on.
magician,https://tryhackme.com/room/magician,easy,challenge,45,9632,2021-02-21,Red,Application penetration testing; Code review; Port scanning; Scripting,Linux,Burp Suite; Nmap,This magical website lets you convert image file formats
VulnNet,https://tryhackme.com/room/vulnnet1,medium,challenge,75,9606,2021-03-17,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,Can you take advantage of the misconfigurations made by VulnNet Entertainment?
Android Malware Analysis,https://tryhackme.com/room/androidmalwareanalysis,easy,walkthrough,60,9581,2022-01-19,Blue,Digital forensics; Malware analysis; Mobile penetration testing,Android,Cuckoo Sandbox; Wireshark,Android malware analysis with Pithus (static and hunting)
VulnNet: Node,https://tryhackme.com/room/vulnnetnode,easy,challenge,45,9543,2021-03-26,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Nmap,"After the previous breach, VulnNet Entertainment states it won't happen again. Can you prove they're wrong?"
Registry Persistence Detection,https://tryhackme.com/room/registrypersistencedetection,easy,walkthrough,60,9526,2023-10-10,Blue,Digital forensics; Incident handling; Incident response; Registry forensics; Security analysis; Vulnerability analysis,Windows,AutoRun,Learn to use the AutoRuns PowerShell module to detect persistence mechanisms that use the Registry.
Year of the Jellyfish,https://tryhackme.com/room/yearofthejellyfish,hard,challenge,120,9525,2021-04-23,Red,Application penetration testing; Exploitation; Penetration testing; Privilege escalation,Linux; Web,,Some boxes sting...
Linux Privilege Escalation: Enumeration,https://tryhackme.com/room/linprivenum,easy,walkthrough,60,9509,2026-05-19,Red,Enumeration; Penetration testing; Privilege escalation,Linux,,Gather information about the target host to understand the system for privilege escalation.
Airplane,https://tryhackme.com/room/airplane,medium,challenge,60,9406,2024-06-07,Red,Code review; Privilege escalation; Reverse shell techniques,Linux; Web,,Are you ready to fly?
Anonymous Playground,https://tryhackme.com/room/anonymousplayground,hard,challenge,120,9376,2020-08-13,Red,Application penetration testing; Penetration testing; Red teaming; Security analysis; Vulnerability analysis,Linux; Web,Nmap,Want to become part of Anonymous?  They have a challenge for you.  Can you get the flags and become an operative?
Metasploit: The Basics,https://tryhackme.com/room/metasploitthebasics,medium,walkthrough,60,9349,2026-05-21,Red,Exploitation,Linux; Windows,Metasploit Framework,"Navigate msfconsole, search for modules, configure exploits, and manage sessions on target systems."
After Hours,https://tryhackme.com/room/hh-afterhours-b090d1f0,medium,challenge,60,9344,2026-08-07,Blue,Digital forensics; Incident response; Reverse engineering,Windows,CyberChef; DnSpy; strings utility,Bar closed. Guests asleep. Something on the network just clocked in for a shift off the rotation.
Cloud Security Pitfalls,https://tryhackme.com/room/cloudsecuritypitfalls,easy,walkthrough,30,9323,2026-01-29,Blue,Cloud security engineering,,,"Explore the risks companies face when migrating to the cloud, and learn how to address them in a SOC."
Borderlands,https://tryhackme.com/room/borderlands,hard,challenge,120,9317,2019-10-29,Red,Network penetration testing; Penetration testing; Red teaming,Linux,,Compromise a perimeter host and pivot through this network.
KQL (Kusto): Introduction,https://tryhackme.com/room/kqlkustointroduction,easy,walkthrough,60,9272,2025-03-05,Blue,Incident response; Security analysis; Security operations,Azure,,This room introduces you to Kusto Query Language and provides an overview of Microsoft Sentinel.
Chaining Vulnerabilities,https://tryhackme.com/room/chainingvulnerabilitiesZp,easy,walkthrough,30,9271,2025-09-16,Red,Application penetration testing,Web,Burp Suite,Learn how to chain vulnerabilities! From Low to High!
The Case: Seven Minutes on the Seine,https://tryhackme.com/room/thecasesevenminutesontheseine,easy,challenge,30,9238,2025-11-21,,,,,You are the analyst on call after a hi-vis crew struck the Galerie d'Apollon and fled toward the river. Investigate using only open sources.
Rabbit Hole,https://tryhackme.com/room/rabbitholeqq,hard,challenge,120,9229,2024-10-25,Red,,Linux,,It's easy to fall into rabbit holes.
Breaking RSA,https://tryhackme.com/room/breakrsa,medium,challenge,30,9228,2024-02-16,Red,Penetration testing; Scripting,Linux,,Hop in and break poorly implemented RSA using Fermat's factorization algorithm.
Compromised Windows Analysis,https://tryhackme.com/room/compromisedwindowsanalysis,easy,walkthrough,75,9048,2025-04-09,Blue,Digital forensics; Log analysis,Windows,Event Viewer NEW; LECmd.exe,Learn about some key forensic artifacts and solve an interesting case of a compromised Windows workstation.
Jupyter 101,https://tryhackme.com/room/jupyter101,easy,walkthrough,45,9025,2020-02-06,Blue,Detection engineering; Documentation,Web,Jupyter,A friendly introduction into using the Jupyter Notebook environment. Learn to process and visualise data!
Mindgames,https://tryhackme.com/room/mindgames,medium,challenge,75,8886,2020-06-10,Red,Code review; Port scanning,Linux,Nmap,Just a terrible idea...
RazorBlack,https://tryhackme.com/room/raz0rblack,medium,challenge,75,8842,2021-07-16,Red,Hash cracking; Penetration testing; Privilege escalation; Red teaming; User enumeration,Windows,,These guys call themselves hackers. Can you show them who's the boss ??
Wekor,https://tryhackme.com/room/wekorra,medium,challenge,75,8762,2021-03-07,Red,Domain enumeration; Exploitation,Web,,"CTF challenge involving Sqli , WordPress , vhost enumeration and recognizing internal services ;)"
Introduction to the World of OT/ICS,https://tryhackme.com/room/introductiontotheworldofotics,easy,walkthrough,60,8671,2026-04-16,Blue,Defensive security,ICS/SCADA,,"Learn what Operational Technology (OT) and Industrial Control Systems (ICS) are, and how they function."
Snyk Open Source,https://tryhackme.com/room/snykopensource,easy,walkthrough,60,8519,2024-06-20,Blue,Code review; DevSecOps; Vulnerability analysis; Vulnerability management,,Snyk Open Source,Securing open-source dependencies with Snyk - a junior application security engineer's journey.
Hack Smarter Security,https://tryhackme.com/room/hacksmartersecurity,medium,challenge,180,8513,2024-03-15,Red,Exploitation; Penetration testing; Privilege escalation,Windows,,Can you hack the hackers?
Masterminds,https://tryhackme.com/room/mastermindsxlq,medium,challenge,45,8492,2021-10-07,Blue,Network traffic analysis; OSINT; Packet analysis,Linux,,Practice analyzing malicious traffic using Brim.
Volatility Essentials,https://tryhackme.com/room/volatilityessentials,medium,walkthrough,60,8475,2025-06-16,Blue,Digital forensics; Incident response,Linux; Windows,Volatility,Learn how to perform memory forensics with Volatility!
Introduction to CryptOps,https://tryhackme.com/room/introductiontocryptops,easy,walkthrough,60,8445,2024-07-23,Purple,Cloud security engineering; DevSecOps,Linux,,Key management strategies for DevSecOps.
Legal Considerations in DFIR,https://tryhackme.com/room/dfirprocesslegalconsiderations,medium,walkthrough,60,8380,2024-03-12,Blue,Digital forensics; Evidence preservation; Incident documentation; Incident response,Windows,,Understand the processes involved in DFIR and the legal considerations that guide them.
Inferno,https://tryhackme.com/room/inferno,medium,challenge,75,8318,2021-02-12,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Gobuster; Hydra; Nmap,Real Life machine + CTF. The machine is designed to be real-life (maybe not?) and is perfect for newbies starting out in penetration testing
Hosted Hypervisors,https://tryhackme.com/room/hostedhypervisors,easy,walkthrough,60,8205,2024-09-04,Blue,Digital forensics; Security analysis; Threat hunting,Hypervisor,Volatility,"Learn about Hosted Hypervisors, how to investigate them, and more."
Zeno,https://tryhackme.com/room/zeno,medium,challenge,60,8144,2021-10-22,Red,Application penetration testing; Exploitation; Penetration testing; Privilege escalation,Linux; Web,,Do you have the same patience as the great stoic philosopher Zeno? Try it out!
Deja Vu,https://tryhackme.com/room/dejavu,easy,walkthrough,90,8098,2021-11-17,Red,Exploitation; Privilege escalation,Linux; Web,Burp Suite; Nmap,Exploit a recent code injection vulnerability to take over a website full of cute dog pictures!
CCT2019,https://tryhackme.com/room/cct2019,insane,challenge,180,8047,2020-03-11,Blue,Security analysis; Threat hunting,Linux,Hashcat; Wireshark,Legacy challenges from the US Navy Cyber Competition Team 2019 Assessment sponsored by US TENTH Fleet
Willow,https://tryhackme.com/room/willow,medium,challenge,75,8041,2020-02-28,Red,Exploitation,Linux; Web,,What lies under the Willow Tree?
Peak Hill,https://tryhackme.com/room/peakhill,medium,challenge,75,8026,2020-05-20,Red,Privilege escalation; Red teaming; Reverse shell techniques; Scripting,Linux,CyberChef,Exercises in Python library abuse and some exploitation techniques
Carrotbane of My Existence,https://tryhackme.com/room/sq3-aoc2025-bk3vvbcgiT,medium,challenge,60,7951,2025-12-17,,,,,Hopper’s uprising is just getting started.
The London Bridge,https://tryhackme.com/room/thelondonbridge,medium,challenge,60,7944,2024-09-25,Red,,Linux,,The London Bridge is falling down.
Year of the Dog,https://tryhackme.com/room/yearofthedog,hard,challenge,120,7934,2020-10-30,Red,Exploitation; Penetration testing; Privilege escalation,Linux,,Always so polite...
battery,https://tryhackme.com/room/battery,medium,challenge,75,7887,2021-01-15,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,CTF designed by CTF lover for CTF lovers
Breakme,https://tryhackme.com/room/breakmenu,medium,challenge,160,7885,2024-09-20,Red,,Linux,,"Break this secure system and get the flags, if you can."
Ollie,https://tryhackme.com/room/ollie,medium,challenge,60,7873,2022-04-08,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Nmap; SQLMap,Meet the world's most powerful hacker dog!
BreachBlocker Unlocker,https://tryhackme.com/room/sq4-aoc2025-32LoZ4zePK,hard,challenge,60,7845,2025-12-21,,,,,Hopper needs your help to get the final key to the throne room.
